# key,rule,type,severity,status,creationDate,updateDate,projectKey,projectName,branch,pullRequest,file,line,effort,message
AX_wqw5znUr6BY9R7kCV,javascript:S5850,BUG,MAJOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,gatsby-node.js,18,10,Group parts of the regex together to make the intended operator precedence explicit.
AX_wqw5znUr6BY9R7kCa,javascript:S3776,CODE_SMELL,CRITICAL,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,gatsby-node.js,301,6,Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.
AX_wqw5HnUr6BY9R7kCM,python:S1854,CODE_SMELL,MAJOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,python-scripts/fetch-data.py,81,15,Remove this assignment to local variable 'id'; the value is never used.
AX_wqw5InUr6BY9R7kCN,python:S1481,CODE_SMELL,MINOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,python-scripts/fetch-data.py,93,5,"Remove the unused local variable ""fields""."
AX_wqw5InUr6BY9R7kCO,python:S1481,CODE_SMELL,MINOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,python-scripts/fetch-data.py,98,5,"Remove the unused local variable ""res""."
AX_wqw5InUr6BY9R7kCS,python:S3776,CODE_SMELL,CRITICAL,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,python-scripts/fetch-data.py,101,28,Refactor this function to reduce its Cognitive Complexity from 38 to the 15 allowed.
AX_wqw5InUr6BY9R7kCR,python:S1481,CODE_SMELL,MINOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,python-scripts/fetch-data.py,118,5,"Remove the unused local variable ""feed""."
AX_wqw5InUr6BY9R7kCQ,python:S1481,CODE_SMELL,MINOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,python-scripts/fetch-data.py,120,5,"Remove the unused local variable ""index""."
AX_wqw3FnUr6BY9R7kB6,javascript:S1117,CODE_SMELL,MAJOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/api/checkout.js,15,5,'checkout' is already declared in the upper scope.
AX_wqw3GnUr6BY9R7kB7,javascript:S1117,CODE_SMELL,MAJOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/api/checkout.js,53,5,'checkout' is already declared in the upper scope.
AX_wqw3GnUr6BY9R7kB8,javascript:S1117,CODE_SMELL,MAJOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/api/checkout.js,108,5,'checkout' is already declared in the upper scope.
AX_wqw3GnUr6BY9R7kB9,javascript:S4326,CODE_SMELL,MINOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/api/checkout.js,194,1,Redundant use of `await` on a return value.
AX_wqw3GnUr6BY9R7kB-,javascript:S1117,CODE_SMELL,MAJOR,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/api/checkout.js,207,5,'checkout' is already declared in the upper scope.
AX_wqw3GnUr6BY9R7kB_,javascript:S1135,CODE_SMELL,INFO,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/api/checkout.js,214,0,"Complete the task associated to this ""TODO"" comment."
AX_wqw3mnUr6BY9R7kCC,javascript:S3776,CODE_SMELL,CRITICAL,OPEN,2022-04-03T20:23:05+0200,2022-04-03T20:23:05+0200,GRAY3,GRAY3,,,src/api/hello-world.js,37,6,Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.
